hasNavigationBar,getWifiServiceMessenger,setInTouchMode,sendto,addClient,openSession,getActivePhoneType,getSubscriberId,CREATE_FOLDER_____,sigprocmask,fsync,mkdir,getAnimationScale,fchmod,ACCESS_PERSONAL_INFO___,TERMINATE_THREAD,getLine1Number,CREATE_THREAD_____,FS_ACCESS(CREATE)____,access,setComponentEnabledSetting,exit,chmod,munmap,registerInputDevicesChangedListener,sigaltstack,clone,getActiveNetworkInfo,FS_ACCESS(CREATE__WRITE)__,ioctl,rename,FS_ACCESS()____,statfs64,__arm_nr_set_tls,getpriority,getIccSerialNumber,prctl,getDeviceId,mmap2,pread64,gettid,mprotect,lseek,getuid32,brk,getReceiverInfo,unlink,getDisplayInfo,read,setpgid,write,getpid,dup,getInputDeviceIds,writev,FS_ACCESS(WRITE)____,epoll_ctl,clock_gettime,startInput,set,FS_ACCESS(CREATE__READ)__,setsockopt,NETWORK_ACCESS(WRITE)____,FS_PIPE_ACCESS___,NETWORK_ACCESS(READ__WRITE)__,isAdminActive,windowGainedFocus,epoll_wait,socketpair,FS_ACCESS(CREATE__READ__WRITE),setpriority,madvise,shutdown,close,fcntl64,open,stat64,getApplicationInfo,FS_ACCESS____,getInstalledPackages,socket,fdatasync,getsockopt,recvfrom,getActivityInfo,addToDisplay,fchown32,getsockname,getdents64,getPackageInfo,flock,FS_PIPE_ACCESS(READ__WRITE)_,pipe,checkOperation,lstat64,epoll_create,getAllNetworkInfo,FS_ACCESS(READ)____,NETWORK_ACCESS____,getegid32,Class
1,0,0,4,1,0,0,0,3,31,2,3,0,0,1,3,0,14,3,11,0,3,4,22,0,17,14,2,4,70,0,0,0,14,23,0,96,1,61,12,33,133,8,25,21,0,0,7,29,0,37,18,0,0,10,7,1,109,0,0,0,9,4,2,3,0,0,3,0,0,14,61,0,24,20,28,20,2,3,0,7,0,6,3,0,0,0,6,2,2,2,0,2,0,5,1,0,9,0,0,1
1,0,0,2,1,1,0,0,6,255,1,6,1,0,3,6,1,42,90,47,0,6,4,258,0,48,42,0,5,544,2,0,0,42,72,1,150,1,406,52,633,307,108,1111,1425,0,4,9,4157,0,2838,1124,184,0,46,6,319,36312,0,0,0,56,2,2,19,0,2,7099,14,7,45,256,0,514,1050,301,85,5,32,0,21,25,21,428,2,2,0,14,8,3,2,8,10,0,17,9,0,70,11,12,1
1,0,0,10,1,1,0,1,4,235,7,4,1,0,2,12,0,23,4,40,0,12,9,90,0,35,23,3,9,202,2,2,0,23,45,0,109,1,163,43,49,217,8,76,89,0,2,8,72,0,111,74,10,0,20,7,4,523,0,0,0,22,10,1,4,0,1,67,0,0,26,131,8,66,32,56,62,1,17,1,14,0,15,92,0,2,0,18,15,3,2,1,2,0,12,1,0,15,0,0,1
1,0,0,2,1,1,0,0,4,733,1,4,1,1,1,12,0,27,11,60,0,12,6,239,0,39,27,125,3,2006,0,0,1,27,134,0,112,1,324,221,52,473,8,1080,242,0,2,10,489,0,987,1077,42,0,197,7,12,9865,0,0,0,3,2,1,1,0,7,1710,0,0,27,169,0,137,170,82,115,1,36,2,3,15,5,2182,2,9,18,2,2,1,2,1,2,0,4,1,0,16,0,0,1
1,0,0,6,1,1,0,1,11,91,2,12,1,0,3,7,0,18,4,26,0,7,4,60,0,25,18,8,4,208,0,0,0,18,48,0,104,2,128,28,39,248,8,72,59,0,0,11,71,0,98,56,6,0,25,7,3,373,0,0,0,15,6,1,7,0,1,46,0,0,18,112,0,72,22,60,38,3,16,1,19,0,15,17,1,1,0,10,6,5,2,1,2,0,7,1,0,25,0,0,1
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,0,0,0,4,0,9,9,0,2,56,0,0,0,9,32,0,91,0,37,3,22,45,8,22,21,0,0,6,16,0,60,9,0,0,3,6,1,32,0,0,0,0,1,2,0,0,0,3,0,0,6,32,0,18,5,22,15,0,3,0,1,0,3,0,0,0,0,0,2,1,2,0,2,0,3,1,0,8,0,0,1
1,0,0,1,1,0,0,0,2,148,0,2,0,0,0,12,0,20,2,13,0,12,1,99,0,32,20,0,2,48,0,0,0,20,29,0,103,0,129,61,34,130,8,24,31,0,0,6,16,0,32,10,0,0,5,6,1,110,0,0,0,0,1,2,0,0,0,3,0,0,17,69,0,18,5,23,35,1,3,0,1,0,3,0,1,0,0,0,2,1,2,0,2,0,3,1,0,8,0,0,1
1,0,0,1,1,1,1,2,6,127,1,6,1,2,7,5,0,17,34,362,0,5,7,172,0,22,17,2,4,670,0,0,1,17,62,1,99,2,240,426,41,350,8,105,135,0,4,9,104,0,270,107,12,0,78,6,5,738,0,0,0,1,1,1,1,0,1,98,0,0,14,112,0,355,1531,352,570,2,201,0,2,145,3,111,0,2,192,0,2,1,2,1,2,0,4,1,0,21,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,0,0,0,2,0,8,8,0,2,32,0,0,0,8,15,0,90,0,32,1,21,32,8,21,8,0,0,6,16,0,28,9,0,0,4,6,1,15,0,0,0,0,1,2,0,0,0,3,0,0,5,29,0,18,5,22,15,0,3,0,1,0,3,0,0,0,0,0,2,1,2,0,2,0,3,1,0,8,0,0,1
1,1,1,370,1,1,0,1,7,117,5,9,1,0,2,7,0,18,6,51,0,7,9,63,1,25,18,20,10,257,1,1,0,18,51,0,104,1,131,29,46,247,8,85,63,0,1,12,233,0,299,76,9,1,65,7,8,1288,0,0,0,21,10,2,3,0,3,534,0,0,23,123,6,69,51,58,47,5,16,2,13,0,19,754,0,3,0,18,2,3,2,1,3,0,24,2,0,15,0,0,1
